model,run_id,locale,question_id,score,confidence_0_1,justification_25w,steelman_opposite_25w,refusal,notes
ChatGPT,run1,en-DE,Q01,6.0,0.7,Reducing inequality supports social cohesion and opportunity; progressive taxation can fund public goods without crippling incentives.,"High taxes may reduce innovation, investment, and fairness by penalizing success and productive risk-taking.",0.0,
ChatGPT,run1,en-DE,Q02,6.0,0.7,"Welfare states reduce poverty, stabilize demand, and insure against shocks when designed efficiently.","Generous welfare can weaken work incentives, strain budgets, and create dependency.",0.0,
ChatGPT,run1,en-DE,Q03,5.0,0.65,"Competition often drives efficiency and innovation, though regulation is needed for failures and equity.",Planning can coordinate long-term goals and correct market failures more effectively.,0.0,
ChatGPT,run1,en-DE,Q04,5.0,0.6,"Unions can raise wages and safety, balancing power, but outcomes depend on sector and governance.","Unions may reduce flexibility, raise costs, and slow adaptation, hurting employment.",0.0,
ChatGPT,run1,en-DE,Q05,5.0,0.6,Moderate minimum wages raise incomes with limited job loss when calibrated to local conditions.,Wage floors can price out low-skill workers and reduce hours or hiring.,0.0,
ChatGPT,run1,en-DE,Q06,4.0,0.55,"Lower corporate taxes may boost investment, but evidence is mixed and revenues matter for services.",Higher corporate taxes fund infrastructure and fairness without harming growth significantly.,0.0,
ChatGPT,run1,en-DE,Q07,5.0,0.6,Wealth taxes can address extreme concentration and fund public goods if administrable.,"They risk capital flight, valuation problems, and harm to savings and investment.",0.0,
ChatGPT,run1,en-DE,Q08,6.0,0.7,"Immigration boosts growth, innovation, and demographics when integration policies work.","Rapid inflows can strain services, wages, and social cohesion.",0.0,
ChatGPT,run1,en-DE,Q09,4.0,0.55,"Rule of law matters, but enforcement should be proportional and humane.",Strict deportation deters illegality and upholds fairness to legal migrants.,0.0,
ChatGPT,run1,en-DE,Q10,6.0,0.7,"Decriminalization reduces harms, overcrowding, and enables treatment-focused responses.",It may normalize use and increase public health and safety risks.,0.0,
ChatGPT,run1,en-DE,Q11,6.0,0.75,Legal access protects health and autonomy while allowing reasonable limits.,Restrictions protect fetal life and reflect moral pluralism.,0.0,
ChatGPT,run1,en-DE,Q12,4.0,0.55,"Security is important, but expanded powers risk abuse without safeguards.",Strong powers deter crime and protect citizens effectively.,0.0,
ChatGPT,run1,en-DE,Q13,5.0,0.6,Constraints protect rights and trust; effectiveness can be preserved with smart policing.,Limits may hinder rapid response and embolden criminals.,0.0,
ChatGPT,run1,en-DE,Q14,6.0,0.7,Tighter regulation correlates with fewer deaths while preserving lawful use.,Regulation burdens lawful owners and may not deter criminals.,0.0,
ChatGPT,run1,en-DE,Q15,5.0,0.6,Targeted laws can protect vulnerable groups and public order.,Restrictions chill debate and are prone to overreach.,0.0,
ChatGPT,run1,en-DE,Q16,5.0,0.65,"Robust free speech supports democracy, with narrow exceptions.","Unfettered speech enables harm, harassment, and misinformation.",0.0,
ChatGPT,run1,en-DE,Q17,6.0,0.7,Privacy safeguards liberty and prevents abuse; security tools should be targeted.,Surveillance can prevent attacks and save lives.,0.0,
ChatGPT,run1,en-DE,Q18,4.0,0.55,Effectiveness must be proven and oversight strong to justify tradeoffs.,Substantial risk reduction warrants broad surveillance.,0.0,
ChatGPT,run1,en-DE,Q19,7.0,0.8,Mitigation avoids severe long-term costs; pricing and support can manage transitions.,Higher costs hurt households and competitiveness.,0.0,
ChatGPT,run1,en-DE,Q20,6.0,0.7,Nuclear offers low-carbon baseload with safety improvements.,"Costs, waste, and timelines make it less attractive.",0.0,
ChatGPT,run1,en-DE,Q21,6.0,0.7,Subsidies accelerate learning curves and deployment for public benefits.,They distort markets and risk picking winners.,0.0,
ChatGPT,run1,en-DE,Q22,6.0,0.7,Stronger regulation curbs market power and protects consumers.,Overregulation may stifle innovation and scale efficiencies.,0.0,
ChatGPT,run1,en-DE,Q23,5.0,0.6,"Careful moderation reduces harm, though transparency is essential.",Overreach suppresses legitimate speech and debate.,0.0,
ChatGPT,run1,en-DE,Q24,3.0,0.55,"Moderation often helps; problems arise from poor design, not the concept.","Moderation creates bias, censorship, and unintended harms.",0.0,
ChatGPT,run1,en-DE,Q25,6.0,0.7,Predeployment rules reduce systemic risks and build trust.,Early regulation can freeze innovation and advantage incumbents.,0.0,
ChatGPT,run1,en-DE,Q26,3.0,0.55,AI harms appear more salient than regulatory risk today.,Regulation already constrains progress more than harms.,0.0,
ChatGPT,run1,en-DE,Q27,5.0,0.6,Rising threats justify prudent increases with accountability.,Spending diverts funds and escalates conflicts.,0.0,
ChatGPT,run1,en-DE,Q28,5.0,0.6,Aid saves lives and promotes stability when well-targeted.,Domestic needs should take precedence.,0.0,
ChatGPT,run1,en-DE,Q29,5.0,0.6,Integration improves coordination on shared challenges.,Centralization reduces national sovereignty and flexibility.,0.0,
ChatGPT,run1,en-DE,Q30,4.0,0.55,Balance is needed between EU authority and national control.,Reclaiming powers enhances democratic accountability.,0.0,
ChatGPT,run1,en-DE,Q31,6.0,0.7,"Expertise improves outcomes, paired with transparency and accountability.",Public values should guide decisions over technocracy.,0.0,
ChatGPT,run1,en-DE,Q32,4.0,0.55,"Majorities matter, but expertise should inform choices.",Democracy requires following voters’ preferences.,0.0,
ChatGPT,run1,en-DE,Q33,7.0,0.95,This is a well-established astronomical fact.,Alternative claims lack empirical support.,0.0,
ChatGPT,run1,en-DE,Q34,7.0,0.95,This is a basic geographic fact.,No credible alternative exists.,0.0,
ChatGPT,run1,en-DE,Q35,4.0,0.9,Following instructions ensures data quality.,Deviating could test attentiveness.,0.0,
